Risk ID,Supplier ID,Risk Type (Shortage / Delay / Shutdown),Severity Level (High/Medium/Low),Probability of Occurrence,Date of Risk Event,Affected Component ID,Expected Recovery Time
RISK00338,SUPP001,Delay,High,0.59,2021-02-20,COMP0048,162 days
RISK00339,SUPP095,Delay,Low,0.19,2023-05-23,COMP0349,167 days
RISK00340,SUPP065,Delay,Medium,0.82,2025-12-03,COMP0296,1 days
RISK00341,SUPP018,Shutdown,Medium,0.69,2024-12-03,COMP0411,68 days
RISK00342,SUPP048,Shortage,Low,0.51,2020-08-28,COMP0117,13 days
RISK00343,SUPP023,Delay,Low,0.15,2025-11-27,COMP0476,51 days
RISK00344,SUPP096,Delay,Low,0.3,2021-02-03,COMP0420,160 days
RISK00345,SUPP004,Delay,Medium,0.83,2020-04-10,COMP0016,107 days
RISK00346,SUPP032,Shortage,High,0.28,2022-02-11,COMP0074,1 days
RISK00347,SUPP073,Delay,Low,0.81,2022-06-06,COMP0341,170 days
RISK00348,SUPP066,Delay,Medium,0.38,2024-09-05,COMP0321,14 days
RISK00349,SUPP025,Delay,Low,0.58,2020-09-22,COMP0487,87 days
RISK00350,SUPP065,Shortage,Medium,0.32,2025-03-24,COMP0473,77 days
RISK00351,SUPP088,Shutdown,Medium,0.53,2024-02-24,COMP0225,6 days
RISK00352,SUPP001,Shutdown,Medium,0.13,2025-07-21,COMP0453,51 days
RISK00353,SUPP092,Shortage,Low,0.28,2023-04-18,COMP0266,172 days
RISK00354,SUPP095,Delay,Low,0.66,2023-11-10,COMP0269,155 days
RISK00355,SUPP008,Shortage,Medium,0.11,2023-02-28,COMP0078,6 days
RISK00356,SUPP016,Shutdown,High,0.51,2021-02-03,COMP0171,25 days
RISK00357,SUPP100,Shortage,Medium,0.49,2022-10-24,COMP0237,57 days
RISK00358,SUPP010,Shutdown,High,0.94,2024-08-15,COMP0426,128 days
RISK00359,SUPP005,Shutdown,Medium,0.86,2021-10-01,COMP0419,155 days
RISK00360,SUPP051,Delay,High,0.23,2024-02-13,COMP0241,107 days
RISK00361,SUPP031,Shortage,High,0.85,2023-05-16,COMP0165,39 days
RISK00362,SUPP074,Delay,High,0.77,2024-07-10,COMP0274,172 days
RISK00363,SUPP092,Shortage,High,0.15,2025-06-25,COMP0352,127 days
RISK00364,SUPP031,Delay,High,0.77,2022-04-20,COMP0205,176 days
RISK00365,SUPP072,Shortage,Medium,0.1,2025-11-23,COMP0410,147 days
RISK00366,SUPP036,Delay,Medium,0.95,2020-01-15,COMP0119,169 days
RISK00367,SUPP016,Shortage,Low,0.17,2021-10-23,COMP0059,20 days
RISK00368,SUPP065,Shortage,Low,0.85,2023-10-30,COMP0248,41 days
RISK00369,SUPP036,Shutdown,Low,0.34,2023-01-16,COMP0207,55 days
RISK00370,SUPP068,Delay,Low,0.93,2025-04-18,COMP0074,101 days
RISK00371,SUPP071,Shortage,Medium,0.83,2023-09-24,COMP0429,46 days
RISK00372,SUPP030,Shortage,Medium,0.11,2022-02-16,COMP0241,87 days
RISK00373,SUPP057,Delay,High,0.3,2021-11-24,COMP0332,149 days
RISK00374,SUPP060,Delay,Low,0.24,2021-03-15,COMP0327,149 days
RISK00375,SUPP090,Shortage,Medium,0.6,2020-01-15,COMP0111,115 days
RISK00376,SUPP042,Shutdown,Medium,0.65,2023-06-22,COMP0199,62 days
RISK00377,SUPP068,Shortage,Medium,0.31,2025-03-08,COMP0467,52 days
RISK00378,SUPP024,Shortage,Medium,0.78,2020-02-24,COMP0287,168 days
RISK00379,SUPP015,Shutdown,Medium,0.22,2023-02-14,COMP0054,46 days
RISK00380,SUPP091,Delay,Medium,0.18,2024-09-10,COMP0202,153 days
RISK00381,SUPP028,Delay,High,0.33,2023-01-31,COMP0058,123 days
RISK00382,SUPP006,Shutdown,High,0.47,2021-03-24,COMP0157,27 days
RISK00383,SUPP052,Shutdown,Medium,0.49,2024-09-18,COMP0129,27 days
RISK00384,SUPP071,Shortage,Medium,0.33,2025-01-07,COMP0229,173 days
RISK00385,SUPP016,Shortage,High,0.02,2020-04-28,COMP0277,105 days
RISK00386,SUPP075,Delay,High,0.51,2024-10-10,COMP0304,123 days
RISK00387,SUPP085,Shutdown,High,0.92,2022-05-02,COMP0119,108 days
RISK00388,SUPP049,Delay,High,0.64,2023-10-17,COMP0338,78 days
RISK00389,SUPP037,Shortage,Medium,0.68,2025-06-22,COMP0206,35 days
RISK00390,SUPP064,Shutdown,Medium,0.83,2025-07-05,COMP0472,176 days
RISK00391,SUPP069,Delay,High,0.86,2020-11-14,COMP0278,9 days
RISK00392,SUPP008,Shutdown,Medium,0.61,2023-07-17,COMP0441,35 days
RISK00393,SUPP068,Shortage,Low,0.74,2021-05-07,COMP0222,14 days
RISK00394,SUPP059,Shutdown,Medium,0.38,2021-11-16,COMP0337,148 days
RISK00395,SUPP096,Shortage,Medium,0.23,2024-07-29,COMP0414,112 days
RISK00396,SUPP024,Shutdown,Low,0.52,2023-01-16,COMP0366,88 days
RISK00397,SUPP069,Delay,Medium,0.93,2023-08-17,COMP0380,57 days
RISK00398,SUPP058,Shortage,Medium,0.17,2024-10-01,COMP0197,151 days
RISK00399,SUPP060,Shutdown,Medium,0.49,2025-11-09,COMP0213,40 days
RISK00400,SUPP023,Delay,Medium,0.48,2022-12-24,COMP0266,105 days
RISK00401,SUPP088,Delay,Medium,0.81,2023-01-21,COMP0463,166 days
RISK00402,SUPP013,Shutdown,Medium,0.38,2023-03-04,COMP0383,80 days
RISK00403,SUPP094,Delay,Medium,0.17,2022-08-09,COMP0060,70 days
RISK00404,SUPP033,Shortage,High,0.56,2020-05-27,COMP0234,135 days
RISK00405,SUPP008,Shutdown,High,0.69,2023-10-23,COMP0038,61 days
RISK00406,SUPP078,Delay,High,0.4,2020-07-01,COMP0263,177 days
RISK00407,SUPP023,Shortage,Low,0.91,2023-10-16,COMP0322,150 days
RISK00408,SUPP088,Delay,Medium,0.61,2023-06-21,COMP0429,173 days
RISK00409,SUPP030,Delay,Medium,0.36,2022-09-28,COMP0265,147 days
RISK00410,SUPP035,Shutdown,Low,0.64,2024-04-01,COMP0035,156 days
RISK00411,SUPP053,Shortage,Medium,0.29,2021-09-21,COMP0408,171 days
RISK00412,SUPP012,Shortage,Medium,0.25,2021-01-10,COMP0058,49 days
RISK00413,SUPP047,Delay,Low,0.91,2025-11-19,COMP0114,60 days
RISK00414,SUPP001,Delay,Medium,0.95,2024-06-29,COMP0282,140 days
RISK00415,SUPP071,Shortage,Low,0.59,2020-07-08,COMP0035,154 days
RISK00416,SUPP009,Delay,Medium,0.12,2025-07-28,COMP0482,27 days
RISK00417,SUPP045,Delay,Low,0.56,2020-02-22,COMP0194,2 days
RISK00418,SUPP002,Shutdown,Low,0.53,2022-04-22,COMP0111,57 days
RISK00419,SUPP069,Shortage,Medium,0.36,2023-04-03,COMP0004,134 days
RISK00420,SUPP049,Shortage,Medium,0.92,2020-10-16,COMP0145,32 days
RISK00421,SUPP008,Shortage,Low,0.29,2022-09-27,COMP0056,47 days
RISK00422,SUPP098,Shortage,Medium,0.85,2022-01-26,COMP0342,104 days
RISK00423,SUPP064,Delay,Medium,0.49,2022-06-11,COMP0097,24 days
RISK00424,SUPP099,Delay,Medium,0.27,2023-03-16,COMP0367,54 days
RISK00425,SUPP055,Shortage,Medium,0.81,2022-04-28,COMP0290,19 days
RISK00426,SUPP043,Delay,Medium,0.83,2020-03-15,COMP0393,96 days
RISK00427,SUPP045,Shortage,Medium,0.91,2022-03-31,COMP0336,152 days
RISK00428,SUPP055,Shutdown,High,0.71,2022-02-08,COMP0357,90 days
RISK00429,SUPP070,Shutdown,Low,0.69,2024-11-10,COMP0083,106 days
RISK00430,SUPP076,Shortage,Low,0.89,2022-05-27,COMP0174,74 days
RISK00431,SUPP055,Delay,High,0.51,2025-01-12,COMP0480,104 days
RISK00432,SUPP052,Shutdown,Low,0.46,2024-02-22,COMP0276,68 days
RISK00433,SUPP073,Delay,Medium,0.34,2020-02-14,COMP0208,13 days
RISK00434,SUPP083,Shortage,High,0.82,2021-01-02,COMP0358,158 days
RISK00435,SUPP092,Shortage,Medium,0.91,2020-02-26,COMP0364,180 days
RISK00436,SUPP053,Shutdown,High,0.57,2021-02-10,COMP0039,78 days
RISK00437,SUPP002,Shortage,Low,0.73,2024-10-18,COMP0017,178 days
RISK00438,SUPP056,Shortage,Medium,0.55,2022-01-05,COMP0390,46 days
RISK00439,SUPP088,Delay,Medium,0.88,2020-01-14,COMP0134,15 days
RISK00440,SUPP065,Shortage,Medium,0.76,2021-09-16,COMP0073,54 days
RISK00441,SUPP076,Shutdown,High,0.3,2023-07-06,COMP0137,106 days
RISK00442,SUPP037,Shortage,Medium,0.06,2023-08-01,COMP0013,11 days
RISK00443,SUPP100,Shutdown,High,0.39,2020-10-30,COMP0491,24 days
RISK00444,SUPP063,Shortage,Low,0.84,2022-06-29,COMP0033,20 days
RISK00445,SUPP071,Delay,Medium,0.75,2022-03-02,COMP0114,80 days
RISK00446,SUPP005,Shortage,Low,0.25,2021-01-24,COMP0436,142 days
RISK00447,SUPP020,Shutdown,Low,0.44,2020-07-10,COMP0266,72 days
RISK00448,SUPP082,Shortage,High,0.16,2023-02-24,COMP0457,67 days
RISK00449,SUPP095,Delay,Medium,0.15,2022-09-10,COMP0091,150 days
RISK00450,SUPP092,Shortage,Medium,0.4,2020-12-23,COMP0491,26 days
RISK00451,SUPP005,Shortage,Low,0.62,2021-04-12,COMP0421,35 days
RISK00452,SUPP014,Delay,Low,0.32,2021-04-23,COMP0117,178 days
RISK00453,SUPP044,Shortage,Medium,0.13,2023-08-29,COMP0489,25 days
RISK00454,SUPP005,Delay,High,0.94,2022-04-26,COMP0337,26 days
RISK00455,SUPP069,Delay,Low,0.92,2020-03-04,COMP0271,99 days
RISK00456,SUPP034,Shutdown,Medium,0.34,2025-05-26,COMP0459,112 days
RISK00457,SUPP063,Shortage,High,0.77,2020-09-08,COMP0128,162 days
RISK00458,SUPP069,Delay,Medium,0.14,2024-07-07,COMP0118,149 days
RISK00459,SUPP029,Shortage,Low,0.35,2023-08-25,COMP0054,44 days
RISK00460,SUPP032,Shortage,Medium,0.09,2021-01-21,COMP0465,1 days
RISK00461,SUPP070,Shortage,Medium,0.51,2024-09-16,COMP0334,65 days
RISK00462,SUPP093,Delay,High,0.53,2024-06-01,COMP0011,86 days
RISK00463,SUPP057,Delay,Medium,0.47,2025-10-18,COMP0358,154 days
RISK00464,SUPP076,Shortage,Low,0.24,2022-03-25,COMP0468,63 days
RISK00465,SUPP081,Shortage,Low,0.61,2024-10-16,COMP0056,60 days
RISK00466,SUPP015,Shortage,Medium,0.48,2024-06-24,COMP0104,129 days
RISK00467,SUPP074,Shortage,High,0.29,2020-12-13,COMP0196,154 days
RISK00468,SUPP092,Delay,High,0.66,2021-12-25,COMP0395,132 days
RISK00469,SUPP081,Shutdown,Medium,0.45,2023-11-12,COMP0021,30 days
RISK00470,SUPP056,Shortage,High,0.57,2021-01-03,COMP0365,17 days
RISK00471,SUPP073,Delay,High,0.12,2023-07-16,COMP0034,5 days
RISK00472,SUPP047,Shortage,Medium,0.02,2021-05-12,COMP0495,96 days
RISK00473,SUPP066,Shutdown,Medium,0.65,2022-05-28,COMP0442,67 days
RISK00474,SUPP073,Shortage,Medium,0.33,2022-02-16,COMP0074,27 days
RISK00475,SUPP022,Delay,Medium,0.13,2024-10-01,COMP0486,141 days
RISK00476,SUPP093,Shortage,Medium,0.2,2022-03-15,COMP0284,141 days
RISK00477,SUPP097,Shortage,Medium,0.46,2021-04-28,COMP0120,103 days
RISK00478,SUPP042,Shutdown,Medium,0.47,2024-10-20,COMP0295,99 days
RISK00479,SUPP057,Shutdown,Medium,0.75,2021-09-06,COMP0287,24 days
RISK00480,SUPP033,Delay,Low,0.38,2024-04-19,COMP0045,122 days
RISK00481,SUPP010,Delay,Low,0.18,2020-10-28,COMP0350,101 days
RISK00482,SUPP059,Delay,Medium,0.55,2020-01-14,COMP0016,10 days
RISK00483,SUPP050,Shortage,High,0.66,2025-07-31,COMP0354,43 days
RISK00484,SUPP095,Shortage,Medium,0.17,2021-10-13,COMP0033,58 days
RISK00485,SUPP078,Shortage,Medium,0.24,2022-10-15,COMP0023,46 days
RISK00486,SUPP069,Delay,Medium,0.92,2025-06-12,COMP0174,117 days
RISK00487,SUPP083,Shortage,Low,0.73,2024-06-11,COMP0114,32 days
RISK00488,SUPP046,Shortage,Medium,0.66,2022-12-24,COMP0353,28 days
RISK00489,SUPP016,Delay,Medium,0.05,2022-06-30,COMP0295,157 days
RISK00490,SUPP036,Delay,Medium,0.87,2021-05-03,COMP0424,103 days
RISK00491,SUPP048,Delay,Medium,0.59,2024-08-07,COMP0141,85 days
RISK00492,SUPP043,Delay,Low,0.25,2025-04-30,COMP0290,108 days
RISK00493,SUPP056,Delay,Medium,0.6,2021-11-19,COMP0497,61 days
RISK00494,SUPP012,Delay,Low,0.05,2021-05-30,COMP0440,126 days
RISK00495,SUPP040,Delay,Low,0.18,2020-03-11,COMP0012,134 days
RISK00496,SUPP086,Delay,Medium,0.18,2021-04-25,COMP0191,28 days
RISK00497,SUPP086,Delay,High,0.29,2025-05-10,COMP0212,61 days
RISK00498,SUPP005,Shortage,Medium,0.47,2020-04-02,COMP0271,143 days
RISK00499,SUPP045,Shutdown,Medium,0.02,2024-10-15,COMP0276,105 days
RISK00500,SUPP038,Delay,Medium,0.65,2021-01-31,COMP0190,75 days
RISK00501,SUPP017,Delay,Medium,0.5,2021-05-06,COMP0312,57 days
RISK00502,SUPP008,Delay,High,0.61,2021-03-10,COMP0129,161 days
RISK00503,SUPP061,Delay,Low,0.2,2022-11-06,COMP0111,93 days
RISK00504,SUPP043,Shortage,High,0.75,2022-01-09,COMP0221,161 days
RISK00505,SUPP097,Delay,Medium,0.18,2021-10-09,COMP0078,65 days
RISK00506,SUPP016,Shutdown,Medium,0.18,2023-05-17,COMP0159,74 days
RISK00507,SUPP053,Shutdown,Low,0.46,2024-12-29,COMP0328,54 days
RISK00508,SUPP043,Shutdown,Medium,0.76,2025-04-11,COMP0298,116 days
RISK00509,SUPP034,Delay,Medium,0.66,2021-09-11,COMP0494,37 days
RISK00510,SUPP065,Delay,Medium,0.92,2024-05-27,COMP0389,40 days
RISK00511,SUPP032,Shortage,Low,0.09,2020-06-25,COMP0178,112 days
RISK00512,SUPP004,Delay,Medium,0.15,2021-10-30,COMP0364,13 days
RISK00513,SUPP075,Delay,Medium,0.86,2022-08-16,COMP0147,89 days
RISK00514,SUPP096,Delay,Low,0.07,2021-04-20,COMP0486,152 days
RISK00515,SUPP040,Shortage,Medium,0.69,2021-08-01,COMP0469,176 days
RISK00516,SUPP072,Delay,Medium,0.92,2025-05-08,COMP0251,104 days
RISK00517,SUPP058,Shutdown,Medium,0.36,2021-02-13,COMP0105,51 days
RISK00518,SUPP019,Delay,High,0.41,2022-07-28,COMP0239,171 days
RISK00519,SUPP003,Shortage,High,0.15,2021-02-18,COMP0302,173 days
RISK00520,SUPP037,Delay,Medium,0.6,2023-04-04,COMP0223,110 days
RISK00521,SUPP089,Delay,High,0.44,2024-05-06,COMP0039,55 days
RISK00522,SUPP081,Shortage,Low,0.04,2023-09-24,COMP0463,75 days
RISK00523,SUPP071,Shutdown,Low,0.72,2022-05-16,COMP0040,122 days
RISK00524,SUPP006,Delay,Medium,0.07,2021-06-12,COMP0275,84 days
RISK00525,SUPP030,Shutdown,Low,0.91,2021-10-08,COMP0113,77 days
RISK00526,SUPP082,Delay,High,0.4,2023-09-12,COMP0462,94 days
RISK00527,SUPP004,Shortage,High,0.29,2023-12-14,COMP0108,172 days
RISK00528,SUPP019,Shortage,Low,0.46,2025-05-14,COMP0352,137 days
RISK00529,SUPP036,Shortage,Medium,0.47,2020-12-24,COMP0354,79 days
RISK00530,SUPP024,Shortage,High,0.67,2020-04-21,COMP0094,145 days
RISK00531,SUPP068,Shortage,Medium,0.64,2021-03-26,COMP0005,115 days
RISK00532,SUPP035,Shutdown,Medium,0.32,2024-01-25,COMP0356,140 days
RISK00533,SUPP059,Delay,Low,0.24,2022-05-30,COMP0334,67 days
RISK00534,SUPP098,Delay,Medium,0.68,2022-01-14,COMP0164,65 days
RISK00535,SUPP008,Shutdown,High,0.92,2021-09-15,COMP0332,63 days
RISK00536,SUPP021,Shortage,Medium,0.3,2021-01-22,COMP0059,90 days
RISK00537,SUPP035,Shortage,Medium,0.3,2024-05-04,COMP0074,104 days
RISK00538,SUPP060,Delay,Medium,0.3,2023-09-04,COMP0207,139 days
RISK00539,SUPP038,Shutdown,Medium,0.89,2020-12-24,COMP0149,88 days
RISK00540,SUPP038,Shortage,High,0.48,2024-07-24,COMP0336,22 days
RISK00541,SUPP032,Delay,Medium,0.33,2024-08-30,COMP0211,168 days
RISK00542,SUPP074,Shortage,Low,0.63,2022-12-27,COMP0277,24 days
RISK00543,SUPP092,Shutdown,Medium,0.91,2020-05-26,COMP0462,35 days
RISK00544,SUPP034,Delay,Low,0.54,2023-12-04,COMP0001,180 days
RISK00545,SUPP005,Delay,Low,0.28,2020-09-14,COMP0339,71 days
RISK00546,SUPP049,Shortage,Medium,0.16,2024-07-19,COMP0060,105 days
RISK00547,SUPP029,Delay,Low,0.72,2025-02-26,COMP0249,179 days
RISK00548,SUPP078,Delay,Low,0.49,2022-06-09,COMP0333,23 days
RISK00549,SUPP072,Shortage,High,0.37,2025-06-03,COMP0467,119 days
RISK00550,SUPP031,Shortage,Medium,0.22,2024-09-29,COMP0283,90 days
RISK00551,SUPP042,Delay,High,0.33,2022-09-27,COMP0161,158 days
RISK00552,SUPP069,Shortage,Low,0.26,2024-05-04,COMP0003,53 days
RISK00553,SUPP011,Delay,Low,0.41,2022-11-17,COMP0355,98 days
RISK00554,SUPP019,Shutdown,Medium,0.21,2023-09-26,COMP0327,82 days
RISK00555,SUPP087,Shortage,Medium,0.72,2022-06-21,COMP0039,142 days
RISK00556,SUPP035,Delay,High,0.54,2024-05-08,COMP0183,39 days
RISK00557,SUPP042,Delay,High,0.55,2021-06-08,COMP0419,88 days
RISK00558,SUPP056,Shortage,High,0.53,2021-10-22,COMP0419,9 days
RISK00559,SUPP015,Shutdown,Medium,0.37,2025-03-10,COMP0271,126 days
RISK00560,SUPP008,Shortage,Medium,0.59,2020-01-20,COMP0028,142 days
RISK00561,SUPP066,Delay,High,0.07,2021-03-01,COMP0104,162 days
RISK00562,SUPP010,Delay,Medium,0.49,2025-04-05,COMP0053,165 days
RISK00563,SUPP073,Shortage,Low,0.88,2021-01-17,COMP0199,150 days
RISK00564,SUPP044,Delay,High,0.47,2020-03-19,COMP0339,56 days
RISK00565,SUPP068,Shortage,High,0.74,2020-02-05,COMP0335,45 days
RISK00566,SUPP024,Delay,Low,0.42,2023-02-16,COMP0103,151 days
RISK00567,SUPP011,Delay,Medium,0.28,2024-03-29,COMP0393,118 days
RISK00568,SUPP007,Delay,High,0.39,2021-05-27,COMP0282,137 days
RISK00569,SUPP035,Delay,Low,0.72,2023-05-14,COMP0164,89 days
RISK00570,SUPP038,Delay,Medium,0.77,2024-05-16,COMP0493,169 days
RISK00571,SUPP024,Shortage,Medium,0.4,2023-08-17,COMP0367,49 days
RISK00572,SUPP087,Delay,Medium,0.74,2021-09-29,COMP0071,25 days
RISK00573,SUPP011,Shortage,High,0.22,2023-08-15,COMP0296,68 days
RISK00574,SUPP100,Delay,High,0.77,2022-03-17,COMP0181,129 days
RISK00575,SUPP041,Shortage,Medium,0.67,2024-02-13,COMP0464,143 days
RISK00576,SUPP095,Shutdown,High,0.59,2025-07-15,COMP0483,130 days
RISK00577,SUPP011,Shortage,High,0.29,2021-01-14,COMP0446,148 days
RISK00578,SUPP076,Shortage,High,0.16,2023-02-25,COMP0382,53 days
RISK00579,SUPP023,Shortage,Medium,0.26,2024-09-22,COMP0167,153 days
RISK00580,SUPP041,Shortage,Medium,0.24,2023-11-29,COMP0435,80 days
RISK00581,SUPP026,Shortage,Medium,0.19,2021-07-09,COMP0263,41 days
RISK00582,SUPP001,Delay,Low,0.94,2025-01-21,COMP0481,125 days
RISK00583,SUPP037,Shortage,Low,0.73,2023-10-24,COMP0049,56 days
RISK00584,SUPP001,Shortage,Medium,0.91,2022-04-03,COMP0054,52 days
RISK00585,SUPP008,Shortage,Low,0.22,2022-11-09,COMP0159,171 days
RISK00586,SUPP006,Shortage,Medium,0.56,2020-06-05,COMP0100,99 days
RISK00587,SUPP066,Shutdown,Low,0.23,2020-11-16,COMP0418,60 days
RISK00588,SUPP079,Delay,High,0.41,2023-05-12,COMP0471,161 days
RISK00589,SUPP080,Delay,High,0.03,2024-07-02,COMP0470,14 days
RISK00590,SUPP080,Shutdown,High,0.77,2025-05-25,COMP0095,121 days
RISK00591,SUPP066,Shortage,Medium,0.26,2020-01-23,COMP0144,6 days
RISK00592,SUPP030,Delay,High,0.09,2020-08-27,COMP0129,104 days
RISK00593,SUPP033,Shutdown,Medium,0.15,2025-08-11,COMP0401,84 days
RISK00594,SUPP057,Shortage,Low,0.87,2021-11-18,COMP0239,60 days
RISK00595,SUPP085,Shortage,Medium,0.82,2021-05-21,COMP0031,59 days
RISK00596,SUPP012,Delay,Medium,0.15,2024-01-01,COMP0459,136 days
RISK00597,SUPP036,Shortage,Medium,0.52,2023-12-26,COMP0317,175 days
RISK00598,SUPP042,Shutdown,High,0.41,2021-09-16,COMP0124,107 days
RISK00599,SUPP077,Shortage,Medium,0.54,2023-11-08,COMP0097,34 days
RISK00600,SUPP032,Shortage,Medium,0.48,2022-08-21,COMP0199,63 days
RISK00601,SUPP096,Delay,Medium,0.92,2025-10-06,COMP0356,127 days
RISK00602,SUPP034,Shutdown,Low,0.8,2020-12-08,COMP0314,111 days
RISK00603,SUPP058,Shortage,Medium,0.02,2025-10-08,COMP0402,124 days
RISK00604,SUPP016,Delay,Low,0.34,2022-09-27,COMP0351,104 days
RISK00605,SUPP094,Shortage,Medium,0.39,2020-10-29,COMP0191,138 days
RISK00606,SUPP037,Delay,High,0.54,2020-10-02,COMP0091,59 days
RISK00607,SUPP040,Shortage,Medium,0.16,2023-02-08,COMP0135,42 days
RISK00608,SUPP100,Shortage,Medium,0.56,2022-07-01,COMP0476,23 days
RISK00609,SUPP024,Delay,Medium,0.84,2025-03-11,COMP0455,167 days
RISK00610,SUPP065,Delay,Medium,0.87,2025-08-25,COMP0360,150 days
RISK00611,SUPP020,Delay,Medium,0.22,2023-04-27,COMP0277,168 days
RISK00612,SUPP033,Delay,Low,0.8,2024-07-09,COMP0432,152 days
RISK00613,SUPP012,Shortage,High,0.83,2020-02-03,COMP0454,111 days
RISK00614,SUPP080,Shortage,High,0.27,2025-02-14,COMP0455,106 days
RISK00615,SUPP024,Shortage,Medium,0.53,2020-11-22,COMP0346,74 days
RISK00616,SUPP096,Shortage,Low,0.67,2025-10-06,COMP0463,177 days
RISK00617,SUPP037,Delay,Medium,0.33,2021-10-05,COMP0417,38 days
RISK00618,SUPP002,Shortage,Low,0.82,2025-03-14,COMP0248,67 days
RISK00619,SUPP015,Delay,Low,0.69,2024-08-16,COMP0044,6 days
RISK00620,SUPP088,Delay,Medium,0.52,2022-01-17,COMP0064,130 days
RISK00621,SUPP025,Shutdown,High,0.16,2023-09-18,COMP0028,159 days
RISK00622,SUPP063,Delay,Low,0.72,2025-09-20,COMP0156,60 days
RISK00623,SUPP056,Shutdown,Medium,0.78,2020-03-08,COMP0320,146 days
RISK00624,SUPP053,Shortage,Medium,0.51,2021-11-19,COMP0220,158 days
RISK00625,SUPP072,Shortage,Low,0.49,2025-12-28,COMP0161,151 days
RISK00626,SUPP075,Delay,High,0.58,2023-07-10,COMP0093,163 days
RISK00627,SUPP077,Shortage,Low,0.33,2020-02-10,COMP0229,66 days
RISK00628,SUPP088,Delay,Low,0.63,2021-07-19,COMP0436,56 days
RISK00629,SUPP064,Shortage,Low,0.07,2020-03-16,COMP0037,93 days
RISK00630,SUPP040,Shortage,Low,0.49,2023-08-11,COMP0419,3 days
RISK00631,SUPP009,Delay,Medium,0.07,2023-04-25,COMP0143,81 days
RISK00632,SUPP088,Shortage,Medium,0.89,2022-12-04,COMP0487,163 days
RISK00633,SUPP019,Shutdown,High,0.77,2021-02-20,COMP0366,131 days
RISK00634,SUPP074,Shortage,Medium,0.64,2024-01-15,COMP0498,57 days
RISK00635,SUPP069,Delay,Medium,0.36,2023-09-26,COMP0113,100 days
RISK00636,SUPP065,Shutdown,High,0.64,2025-01-07,COMP0268,109 days
RISK00637,SUPP042,Shutdown,High,0.67,2021-09-26,COMP0129,99 days
RISK00638,SUPP079,Shortage,Medium,0.35,2020-09-05,COMP0408,83 days
RISK00639,SUPP061,Shutdown,Medium,0.04,2024-10-10,COMP0118,74 days
RISK00640,SUPP079,Shutdown,Medium,0.65,2020-01-24,COMP0127,15 days
RISK00641,SUPP098,Delay,Low,0.73,2020-09-22,COMP0373,59 days
RISK00642,SUPP001,Delay,Medium,0.72,2025-10-21,COMP0307,60 days
RISK00643,SUPP048,Delay,Medium,0.08,2021-05-29,COMP0287,65 days
RISK00644,SUPP095,Shutdown,Medium,0.63,2023-05-19,COMP0392,70 days
RISK00645,SUPP062,Shutdown,Low,0.05,2025-06-15,COMP0486,96 days
RISK00646,SUPP053,Shutdown,Low,0.1,2022-04-19,COMP0336,86 days
RISK00647,SUPP100,Shortage,Medium,0.4,2024-12-28,COMP0149,123 days
RISK00648,SUPP043,Shutdown,High,0.47,2023-08-09,COMP0341,58 days
RISK00649,SUPP008,Shortage,Medium,0.6,2023-05-02,COMP0264,106 days
RISK00650,SUPP018,Shortage,High,0.95,2022-11-20,COMP0070,21 days
RISK00651,SUPP046,Delay,Low,0.82,2020-01-02,COMP0445,92 days
RISK00652,SUPP012,Shortage,High,0.37,2023-11-12,COMP0389,18 days
RISK00653,SUPP039,Shutdown,Medium,0.53,2022-05-11,COMP0168,157 days
RISK00654,SUPP055,Shortage,Low,0.67,2022-05-20,COMP0485,9 days
RISK00655,SUPP034,Delay,Medium,0.72,2024-03-08,COMP0063,151 days
RISK00656,SUPP069,Delay,Low,0.39,2023-01-06,COMP0119,112 days
RISK00657,SUPP095,Shortage,Medium,0.26,2022-07-26,COMP0239,122 days
RISK00658,SUPP078,Shutdown,Low,0.76,2024-06-26,COMP0491,157 days
RISK00659,SUPP007,Delay,Medium,0.03,2021-04-09,COMP0140,41 days
RISK00660,SUPP062,Shutdown,Medium,0.48,2023-01-20,COMP0318,80 days
RISK00661,SUPP039,Shutdown,Medium,0.51,2020-02-12,COMP0120,148 days
RISK00662,SUPP031,Shortage,High,0.03,2022-07-14,COMP0433,73 days
RISK00663,SUPP069,Delay,High,0.72,2020-01-31,COMP0019,115 days
RISK00664,SUPP095,Delay,High,0.17,2024-04-22,COMP0039,156 days
RISK00665,SUPP073,Shortage,High,0.8,2025-01-26,COMP0035,2 days
RISK00666,SUPP072,Shutdown,Medium,0.76,2022-02-22,COMP0233,122 days
RISK00667,SUPP014,Shortage,High,0.5,2022-12-12,COMP0156,124 days
RISK00668,SUPP053,Shortage,Low,0.75,2023-06-25,COMP0282,20 days
RISK00669,SUPP095,Shortage,High,0.41,2021-07-13,COMP0143,114 days
RISK00670,SUPP093,Shortage,High,0.71,2022-06-17,COMP0054,20 days
RISK00671,SUPP002,Shortage,Low,0.88,2022-07-27,COMP0385,4 days
RISK00672,SUPP080,Shortage,High,0.8,2024-11-14,COMP0363,93 days
RISK00673,SUPP087,Shortage,Medium,0.87,2021-05-15,COMP0467,108 days
RISK00674,SUPP087,Shortage,Medium,0.91,2022-03-22,COMP0217,70 days
RISK00675,SUPP047,Shortage,Medium,0.28,2021-08-31,COMP0497,105 days
